row_key,sheet,tc_id,functionality,redesign_pattern,confidence,reason
24.Launcher#161.0,24.Launcher,161.0,Focus - 앱 서랍,-,0.82,"하방향 포커스 이동+경계 무반응, 관찰 전용 mutation 없음"
24.Launcher#241.0,24.Launcher,241.0,즐겨찾기,popup_cancel,0.8,"즐겨찾기 등록 0 명시 상태 롱탭 팝업+미등록 문구·취소/등록 고정 노출, mutation 없음"
25.Call#291.0,25.Call,291.0,하드키 동작,-,0.78,"즐겨찾기 0 명시 상태 연락처 실행시 '즐겨찾기 추가' text 최초 포커스, 고정 라벨"
25.Call#293.0,25.Call,293.0,하드키 동작,-,0.8,"즐겨찾기 0 명시 검색focus 하방향시 즐겨찾기 추가 포커스, 고정 라벨 관찰"
25.Call#294.0,25.Call,294.0,하드키 동작,-,0.8,"즐겨찾기 0 검색focus 하방향 2회시 즐겨찾기 탭 포커스, 고정 요소 mutation 없음"
25.Call#326.0,25.Call,326.0,하드키 동작,-,0.74,"더보기 단축다이얼 ok로 설정 화면 전환+페이지 탐색 최초 포커스, 고정 UI 관찰 부작용 없음"
25.Call#327.0,25.Call,327.0,하드키 동작,-,0.76,"단축다이얼 페이지 탐색 우방향 100~199 전환+focus 유지, 고정 페이지 라벨 등록 슬롯 무관"
25.Call#328.0,25.Call,328.0,하드키 동작,-,0.76,"페이지 탐색 좌방향 900~999 전환+focus 유지, 고정 페이지 라벨 mutation 없음"
25.Call#331.0,25.Call,331.0,하드키 동작,-,0.78,"페이지 탐색 하방향 '연락처 추가' 포커스, 고정 라벨 관찰 mutation 없음"
25.Call#332.0,25.Call,332.0,하드키 동작,-,0.8,"페이지 탐색 상방향 '뒤로가기' 포커스, 고정 요소 관찰 mutation 없음"
25.Call#333.0,25.Call,333.0,하드키 동작,-,0.82,"'최초 focus 소리 및 진동'은 메뉴 라벨명 focus이지 실제 진동 아님. 화면전환+라벨 presence assert 가능, mutation 없음"
25.Call#334.0,25.Call,334.0,하드키 동작,-,0.85,"설정화면 소리및진동 focus up→뒤로가기 focus. 고정 라벨 focus 이동만, mutation 없음"
25.Call#335.0,25.Call,335.0,하드키 동작,-,0.85,"focus 아래 이동·최하단 정지. 고정 메뉴 focus 이동만, mutation 없음"
25.Call#336.0,25.Call,336.0,하드키 동작,-,0.88,"소리및진동 focus ok→화면전환. 화면전환·라벨 presence assert 가능, ok는 진입일뿐 토글 아님"
25.Call#337.0,25.Call,337.0,하드키 동작,-,0.85,"통화녹음 focus ok→화면전환+알림표시 메뉴 focus. 고정 라벨 presence, mutation 없음"
25.Call#339.0,25.Call,339.0,하드키 동작,-,0.88,"알림표시 focus down→통화중자동녹음 focus. 고정 메뉴 focus 이동만, mutation 없음"
25.Call#340.0,25.Call,340.0,하드키 동작,-,0.78,"자동녹음 focus ok→설정화면+사용 focus. ok는 화면진입, 사용은 focus 대상 라벨일뿐 토글 안함"
25.Call#341.0,25.Call,341.0,하드키 동작,-,0.88,"자동녹음 focus down→저장된통화녹음 focus. 고정 메뉴 focus 이동만, mutation 없음"
25.Call#353.0,25.Call,353.0,하드키 동작,-,0.85,"연락처 ok→'새 연락처 만들기' focus. 항상 존재하는 고정 항목 focus, 등록 연락처 무관, mutation 없음"
25.Call#354.0,25.Call,354.0,하드키 동작,-,0.85,새연락처만들기 focus up/left/right→마이크/돋보기/더보기 아이콘 focus. 고정 아이콘 focus 이동만
25.Call#355.0,25.Call,355.0,하드키 동작,-,0.85,"키패드 탭 후 방향키/ok→하단 숫자입력박스 focus. 앱내 진입, 고정 요소 focus 이동만, mutation 없음"
25.Call#356.0,25.Call,356.0,하드키 동작,-,0.88,"입력칸 focus down→키패드'1' focus. 고정 키패드 focus 이동만, mutation 없음"
25.Call#357.0,25.Call,357.0,하드키 동작,-,0.88,"숫자버튼 focus up→전화번호 입력칸 focus. 고정 요소 focus 이동만, mutation 없음"
26.Message#68.0,26.Message,68.0,하드키 동작,-,0.83,"차단/스팸관리 진입 후 '뒤로가기' 고정 라벨 최초 focus. 메뉴구조 정적, 데이터 무관, mutation 0."
26.Message#69.0,26.Message,69.0,하드키 동작,-,0.84,"차단/스팸관리에서 Up/Down focus 이동만. 방향키 탐색, 부작용 없음."
26.Message#70.0,26.Message,70.0,하드키 동작,-,0.82,"'차단된 번호' 고정 메뉴항목 진입 focus 이동. 정적 메뉴, 데이터 무관, mutation 0."
26.Message#71.0,26.Message,71.0,하드키 동작,-,0.82,"'차단된 문구' 고정 메뉴항목 진입 focus 이동. 정적 메뉴, 데이터 무관, mutation 0."
26.Message#72.0,26.Message,72.0,하드키 동작,-,0.82,"'차단된 메시지' 고정 메뉴항목 진입 focus 이동. 정적 메뉴, 데이터 무관, mutation 0."
26.Message#73.0,26.Message,73.0,하드키 동작,popup_cancel,0.79,스팸 신고 안내 팝업 '취소' 최초 focus + 이동. 취소로 무변경 종결.
26.Message#74.0,26.Message,74.0,하드키 동작,popup_cancel,0.78,"개인정보 수집 동의 팝업 '취소' 최초 focus + 이동. 취소=동의 안함, mutation 회피."
26.Message#75.0,26.Message,75.0,,-,0.8,"휴지통 진입 후 '뒤로가기' 고정 라벨 최초 focus + 이동. 삭제데이터 무관, 고정요소 assert."
26.Message#76.0,26.Message,76.0,하드키 동작,-,0.83,설정 진입 후 '뒤로가기' 고정 라벨 최초 focus. mutation 없음.
26.Message#77.0,26.Message,77.0,하드키 동작,-,0.85,"설정 화면 Up/Down focus 이동만. 방향키 탐색, 부작용 없음."
26.Message#80.0,26.Message,80.0,하드키 동작,-,0.83,설정>MMS 진입 후 '뒤로가기' 고정 focus + 이동. mutation 없음.
26.Message#81.0,26.Message,81.0,하드키 동작,-,0.83,설정>알림 진입 후 '뒤로가기' 고정 focus + 이동. mutation 없음.
26.Message#82.0,26.Message,82.0,하드키 동작,-,0.81,글꼴 크기 진입 후 '시스템 글꼴 크기를 따름' 고정 라벨 최초 focus + 이동. 고정텍스트 assert.
27.Contacts#2.0,27.Contacts,2.0,연락처 - 하드키 focus,-,0.86,"precondition '등록된 연락처 없음' 명시, '새 연락처 만들기' 고정 라벨 최초 focus. fixture 깨끗."
27.Contacts#3.0,27.Contacts,3.0,연락처 - 하드키 focus,-,0.85,"연락처 없음 상태, Press Up 시 좌상단 메뉴 focus. 고정 요소, mutation 없음."
27.Contacts#4.0,27.Contacts,4.0,연락처 - 하드키 focus,-,0.85,"연락처 없음, 메뉴에서 Right 시 '추가하기(+)' 버튼 focus. 고정 요소, mutation 없음."
27.Contacts#5.0,27.Contacts,5.0,연락처 - 하드키 focus,-,0.85,"추가 버튼에서 Right 시 '검색 버튼' focus. 고정 요소, mutation 없음."
27.Contacts#6.0,27.Contacts,6.0,연락처 - 하드키 focus,-,0.85,"상단 버튼에서 Down 시 '새 연락처 만들기' focus. 고정 요소, mutation 없음."
27.Contacts#48.0,27.Contacts,48.0,새 연락처 생성 - 하드키 focus,-,0.86,"사진변경 팝업 고정항목 focus 이동(찍기→선택), mutation 없음, 라벨 assert 가능"
27.Contacts#49.0,27.Contacts,49.0,새 연락처 생성 - 하드키 focus,-,0.86,"사진변경 팝업 고정항목 focus 이동(변경→취소), 부작용 없음"
27.Contacts#50.0,27.Contacts,50.0,새 연락처 생성 - 하드키 focus,-,0.9,"빈 새연락처 폼 이름칸→확장버튼(▽) focus 이동, mutation 없음"
27.Contacts#53.0,27.Contacts,53.0,새 연락처 생성 - 하드키 focus,-,0.9,"빈 폼 이름칸→전화번호칸 focus 이동, 부작용 없음"
27.Contacts#54.0,27.Contacts,54.0,새 연락처 생성 - 하드키 focus,-,0.9,"전화번호칸→메일칸 focus 이동, mutation 없음"
27.Contacts#55.0,27.Contacts,55.0,새 연락처 생성 - 하드키 focus,-,0.8,"메일칸→항목더보기 focus 이동, 저장위치값은 precondition 컨텍스트로 미assert"
27.Contacts#57.0,27.Contacts,57.0,새 연락처 생성 - 하드키 focus,-,0.78,"항목더보기 활성 precondition 선언 상태에서 Down→저장위치 focus, 요소 presence assert"
27.Contacts#60.0,27.Contacts,60.0,,popup_cancel,0.7,"드롭박스 cancel/back으로 닫고 focus 유지, roundtrip 복원 관찰"
27.Contacts#65.0,27.Contacts,65.0,그룹 만들기 - 하드키 focus,-,0.85,"그룹만들기 입력창→취소 focus 이동, 빈 폼 결정적"
27.Contacts#68.0,27.Contacts,68.0,그룹 만들기 - 하드키 focus,-,0.88,"메뉴→추가 focus 이동, 고정 라벨 assert 가능"
27.Contacts#69.0,27.Contacts,69.0,그룹 만들기 - 하드키 focus,-,0.88,"추가→더보기 focus 이동, mutation 없음"
27.Contacts#70.0,27.Contacts,70.0,그룹 만들기 - 하드키 focus,-,0.85,"메뉴바→연락처추가하기 메뉴 focus 이동, 부작용 없음"
27.Contacts#72.0,27.Contacts,72.0,그룹 만들기 - 하드키 focus,-,0.85,"뒤로가기→검색 focus 이동, 고정 라벨 결정적"
27.Contacts#77.0,27.Contacts,77.0,연락처 설정 - 하드키 focus,-,0.78,"설정 화면 고정 구조항목(뒤로가기↔연락처정보) 상하 focus, looping 없음 assert"
27.Contacts#79.0,27.Contacts,79.0,가져오기 - 하드키 focus,-,0.82,"내부저장소→뒤로가기 focus 이동, 결정적 라벨"
28.Camera#130.0,28.Camera,130.0,하드키 동작 - 사진,-,0.78,"방향키 입력 시 촬영버튼 focus, 고정 요소 focus assert 가능"
28.Camera#131.0,28.Camera,131.0,하드키 동작 - 사진,-,0.78,"UP 방향키로 사진 항목 focus 이동, 결정적 고정 요소"
28.Camera#132.0,28.Camera,132.0,하드키 동작,-,0.76,"UP 연속으로 1x 항목 focus, 고정 요소 focus assert"
28.Camera#133.0,28.Camera,133.0,하드키 동작,-,0.74,"전면 카메라 설정 항목 focus 이동, 고정 라벨, mutation 없음"
28.Camera#134.0,28.Camera,134.0,하드키 동작,-,0.74,"전면 Right로 타이머 focus, 결정적 고정 요소"
28.Camera#135.0,28.Camera,135.0,하드키 동작,-,0.74,"후면 UP 연속으로 타이머 focus, 고정 요소 assert 가능"
28.Camera#136.0,28.Camera,136.0,하드키 동작,-,0.74,"후면 Right로 플래시 아이콘 focus, 결정적 고정 요소"
28.Camera#137.0,28.Camera,137.0,하드키 동작,-,0.72,"후면 Down으로 2x focus 이동, 고정 요소 focus assert"
28.Camera#146.0,28.Camera,146.0,하드키 동작,-,0.82,"precondition 공란, UP키로 사진 요소 포커스만 mutation 없음 고정 요소 assert"
28.Camera#147.0,28.Camera,147.0,하드키 동작,-,0.85,방향키로 동영상 촬영 버튼 포커스 이동만 고정 요소 검증 mutation 없음
28.Camera#157.0,28.Camera,157.0,하드키 동작,-,0.84,가로모드 방향키로 사진 촬영 버튼 포커스만 고정 요소 검증 mutation 없음
28.Camera#158.0,28.Camera,158.0,하드키 동작,-,0.84,방향키로 동영상 촬영 버튼 포커스 이동만 고정 요소 검증
28.Camera#163.0,28.Camera,163.0,하드키 동작,-,0.84,Up키로 화면 전환 요소 포커스만 고정 요소 검증 mutation 없음
28.Camera#164.0,28.Camera,164.0,하드키 동작,-,0.82,Left키로 사진 요소 포커스만 mutation 없음 고정 요소 포커스 assert
28.Camera#166.0,28.Camera,166.0,하드키 동작,-,0.8,Left키로 1X 배율 라벨 포커스만 포커스 이동이며 줌 적용 아님
28.Camera#167.0,28.Camera,167.0,하드키 동작,-,0.8,방향키로 2X 라벨 포커스만 포커스 이동이며 줌 적용 아님
28.Camera#174.0,28.Camera,174.0,하드키 동작,-,0.84,방향키로 타이머 요소 포커스만 고정 요소 검증 mutation 없음
28.Camera#175.0,28.Camera,175.0,하드키 동작,-,0.84,방향키로 설정 요소 포커스만 고정 요소 검증 mutation 없음
29.Clock#1.0,29.Clock,1.0,Focus,-,0.9,"알람 없음 명시, 방향키로 '+' 아이콘 포커스만 고정 요소 검증"
29.Clock#2.0,29.Clock,2.0,Focus,-,0.88,"알람 없음 명시, Up으로 '+' 포커스 후 무변화 고정 요소 검증"
29.Clock#3.0,29.Clock,3.0,Focus,-,0.9,"알람 없음 명시, Down으로 '알람 추가' 문구 포커스만 고정 텍스트 검증"
29.Clock#4.0,29.Clock,4.0,Focus,-,0.89,Down 2회로 하단 '알람' 탭 포커스만 고정 탭 요소 검증
29.Clock#5.0,29.Clock,5.0,Focus,-,0.88,Right로 세계시각/타이머/스톱워치 탭 포커스 이동만 고정 탭 라벨 검증
29.Clock#9.0,29.Clock,9.0,Focus - 세계시각,-,0.88,세계시각 탭에서 방향키로 '+' 아이콘 포커스만 고정 요소 검증
29.Clock#10.0,29.Clock,10.0,Focus - 세계시각,-,0.76,"OK로 도시 선택창 이동+뒤로가기 버튼 포커스, 화면 전환·포커스만 데이터 mutation 아님"
29.Clock#15.0,29.Clock,15.0,Focus - 타이머,-,0.88,"타이머 없음 명시, 방향키로 '00분' 영역 포커스만 고정 요소 검증"
29.Clock#17.0,29.Clock,17.0,Focus - 타이머,-,0.87,"타이머 없음, Right/Left로 '00초'/'00시' 영역 포커스 이동만 고정 요소 검증"
29.Clock#18.0,29.Clock,18.0,Focus - 타이머,-,0.86,"타이머 없음, Right 2회로 스톱워치 탭 이동만 고정 탭 검증 포커스 이동"
29.Clock#19.0,29.Clock,19.0,Focus - 타이머,-,0.85,"타이머 없음, Keep Down/Up으로 알람 탭/더보기 아이콘 포커스 한계 고정 요소 검증"
29.Clock#26.0,29.Clock,26.0,Focus - 스톱워치,-,0.88,스톱워치 진입 후 방향키로 재생버튼 최초 포커스만 고정 요소 검증
30.Voice Recorder#1.0,30.Voice Recorder,1.0,Focus,-,0.9,하드키 입력으로 '녹음 시작' 아이콘 포커스만 녹음 미시작 고정 요소 검증
31.Radio#17.0,31.Radio,17.0,Focus,-,0.83,"채널 리스트서 Right→즐겨찾기 아이콘(고정 UI 요소) 포커스. mutation·input 없음, 요소 presence assert 가능."
32.Calculator#25.0,32.Calculator,25.0,하드키 focus,-,0.84,"공학 계산기 좌우키 행 포커스 이동, 끝 loop 미동작. 고정 버튼, 결정적 포커스 assert."
32.Calculator#26.0,32.Calculator,26.0,하드키 focus,-,0.84,"상하키 열 포커스 이동, 끝 loop 미동작. 고정 버튼 포커스 assert, 변형 없음."
5.Magnifying glasses#1.0,5.Magnifying glasses,1.0,Focus,-,0.82,"돋보기 진입 후 방향키/OK→줌 슬라이더 핸들(고정) 포커스. presence assert 가능, mutation 없음."
5.Magnifying glasses#2.0,5.Magnifying glasses,2.0,Focus,-,0.82,"하드키 돋보기 진입 후 줌 슬라이더 핸들 포커스 확인. 고정 요소 assert, 변형 없음."
5.Magnifying glasses#5.0,5.Magnifying glasses,5.0,Focus,-,0.81,손전등 버튼 focus서 위키→확대/축소 그래프(고정 요소) 포커스 이동. mutation 없음.
5.Magnifying glasses#6.0,5.Magnifying glasses,6.0,Focus,-,0.8,촬영 버튼 focus서 왼쪽키→썸네일 버튼(고정 UI) 포커스 이동. 사진 데이터 아닌 버튼 assert.
5.Magnifying glasses#10.0,5.Magnifying glasses,10.0,Focus,-,0.82,"최초 포커스서 위키→포커스 이동 안함. 포커스 부동 assert 가능, mutation 없음."
6.Pedometer app#40.0,6.Pedometer app,40.0,하드키 - focus,-,0.84,최초 실행 시 최초 focus 뒤로가기 버튼(고정) 위치 확인. presence assert 가능.
6.Pedometer app#41.0,6.Pedometer app,41.0,하드키 - focus,-,0.84,"뒤로가기 focus서 Down→키 항목(고정) 포커스. 포커스 이동만, mutation 없음."
6.Pedometer app#42.0,6.Pedometer app,42.0,하드키 - focus,-,0.84,"키 focus서 Down→몸무게(고정 항목) 포커스. assert 가능, 입력 없음."
6.Pedometer app#43.0,6.Pedometer app,43.0,하드키 - focus,-,0.84,"몸무게 focus서 Down→성별(고정 항목) 포커스. 포커스 이동만, mutation 없음."
6.Pedometer app#44.0,6.Pedometer app,44.0,하드키 - focus,-,0.84,성별 focus서 Down→목표 걸음수(고정 항목) 포커스. assert 가능.
8. Picture Frame widget#10.0,8. Picture Frame widget,10.0,FOCUS 동작,-,0.77,슬라이드쇼서 좌우/위키→화살표·편집 아이콘(고정 chrome) 포커스. 사진 아닌 위젯 UI assert.
8. Picture Frame widget#11.0,8. Picture Frame widget,11.0,FOCUS 동작,-,0.8,화살표 포커스서 방향키→아무 일 없음 또는 설정 아이콘 포커스. 포커스 경계 assert 가능.
8. Picture Frame widget#13.0,8. Picture Frame widget,13.0,Focus - Photo sildeshow,-,0.78,"슬라이드쇼서 OK→편집(고정 chrome)에 포커스 위치. 메뉴 진입 아닌 포커스 land, assert 가능."
8. Picture Frame widget#14.0,8. Picture Frame widget,14.0,Focus - Photo sildeshow,-,0.8,"OK 후 Down→< 화살표(고정) 포커스. 포커스 이동만, mutation 없음."
8. Picture Frame widget#15.0,8. Picture Frame widget,15.0,Focus - Photo sildeshow,-,0.8,"OK·Down·Right→> 화살표(고정) 포커스. 포커스 이동만, 입력·변형 없음."
8. Picture Frame widget#22.0,8. Picture Frame widget,22.0,Focus - Photo sildeshow 편집,-,0.78,편집 뒤로가기 포커스서 Right→저장(고정 chrome) 포커스. 사진 데이터 무관 버튼간 이동.
9.Simple settings#8.0,9.Simple settings,8.0,Simple settings,-,0.84,"쉬운 설정서 방향키/OK→소리및진동(고정 메뉴) 포커스. assert 가능, 변형 없음."
9.Simple settings#9.0,9.Simple settings,9.0,Simple settings,-,0.84,"좌우키→포커스 이동·변화 없음. 포커스 부동 assert 가능, mutation 없음."
9.Simple settings#12.0,9.Simple settings,12.0,Simple settings,-,0.88,"방향키 네비게이션으로 WiFi 설정 메뉴 진입, expected는 고정 메뉴 진입 assert, fixture·입력·mutation 0"
9.Simple settings#13.0,9.Simple settings,13.0,Simple settings,-,0.88,"테마및배경화면 메뉴 진입만, 고정 라벨 presence assert 가능, 사용자데이터·toggle 없음"
9.Simple settings#14.0,9.Simple settings,14.0,Simple settings,-,0.9,"디스플레이 메뉴 진입만, 입력·부작용 없고 고정 메뉴 진입 결정적"
9.Simple settings#15.0,9.Simple settings,15.0,Simple settings,-,0.89,"안심기능 메뉴 진입 검증, fixture·toggle 없음 고정 라벨 assert 가능"
9.Simple settings#16.0,9.Simple settings,16.0,Simple settings,-,0.85,"Emergency 메뉴 진입만, expected는 메뉴 진입 자체로 carrier 비가변, mutation 없음"
