sheet,tc_id,functionality,procedure,expected,csv_safety_prev,classification,reason,fixture_dependency,input_flag
32.Calculator,7.0,입력 및 삭제,계산기 > 소수점 숫자 입력,소수점이 입력이 되어야 한다,INPUT_REQUIRED,KEEP,소수점 입력 transient — 동일,N,Y
32.Calculator,9.0,입력 및 삭제,계산기 > ← 키를 이용하여 숫자 삭제,숫자 한개씩 삭제가 되어야 한다,INPUT_REQUIRED,KEEP,← 한 개씩 삭제 — transient input,N,Y
32.Calculator,11.0,입력 및 삭제,계산기 > AC,입력한 내용 전체가 삭제되어야 한다,INPUT_REQUIRED,KEEP,AC 전체 삭제 — transient input(표시부 클리어),N,Y
32.Calculator,13.0,계산,계산기 > 사칙연산 시행,타사폰과 비교하여 사칙연산이 정상적으로 동작하는지 확인한다,INPUT_REQUIRED,REVIEW_QUEUE,재설계: '타사폰과 비교' → 결정적 기대값(수학 결과)으로 재작성 가능,N,N
32.Calculator,15.0,계산,계산기> 공학용 모드 > 사칙연산 시행,타사폰과 비교하여 사칙연산이 정상적으로 동작하는지 확인한다,INPUT_REQUIRED,REVIEW_QUEUE,재설계: 공학용 사칙연산 — 외부 비교 → 결정적 기대값 재작성,N,N
32.Calculator,17.0,계산,"계산기> 공학용 모드 > sin, cos, tan, e 등 시행",타사폰과 비교하여 공학용 모드에서 공학 연산이 정상적으로 동작하는지 확인한다,INPUT_REQUIRED,REVIEW_QUEUE,재설계: 공학 함수 — 외부 비교 → 결정적 기대값 재작성,N,N
32.Calculator,19.0,수식,"계산기> 공학용 모드 > sin, cos, tan, e 등 시행",현재/이전에 입력된 수식에 누락된 값이 없는지 확인한다.,INPUT_REQUIRED,REVIEW_QUEUE,모호: '누락된 값 없는지' 비결정 assert + History fixture,Y,N
32.Calculator,40.0,계산 기록,계산기 > 더보기 > 기록,기록이 없습니다 표시,READ_ONLY,KEEP,기록 없음 observe — '기록이 없습니다' 결정적 문구; pre=기록 없음(blocking),N,N
32.Calculator,41.0,계산 기록,1. 계산기 > 사칙연산 입력 > 더보기 > 계산 기록,기록이 없습니다 표시,INPUT_REQUIRED,REVIEW_QUEUE,fixture: 기록 전체 삭제 전제(삭제 = mutation fixture),Y,Y
32.Calculator,42.0,계산 기록,계산기 > 사칙연산 시행 > 더보기 > 계산 기록,계산기록한 내용 표시됨 (기록 / 날짜(오늘) / 현재수식),READ_ONLY,REVIEW_QUEUE,"'=' 시행 → 기록 생성 잔존 — 기록 화면 assert, cleanup 설계 필요",N,N
32.Calculator,43.0,계산 기록,계산기 > 사칙연산 시행 > 더 보기 > 기록,계산기록한 내용 표시됨 (기록 / 날짜(오늘) / 현재수식),READ_ONLY,REVIEW_QUEUE,'=' 시행 → 기록 생성 잔존 — cleanup 설계 필요,N,N
32.Calculator,44.0,계산 기록,계산기 > 사칙연산 시행 > 더 보기 > 기록 > 더 보기 > 삭제,"1. 삭제질의 팝업에서 [삭제]를 탭할 경우, 계산 기록이 삭제됩니다. 2. 삭제질의 팝업에서 [취소]를 탭할 경우, 기록 화면으로 회귀합니다.",NAVIGATION_ONLY,EXCLUDE,기록 삭제 실행 = mutation(destructive),N,N
32.Calculator,45.0,계산 기록,1. 계산기 > 기록 > 기존 계산 수식 Tap 2. 계산기 > 기록 > 기존 계산 결과값 Tap,"1. 현재 수식 위 기록에 "" 기록이 없습니다. "" 문구가 노출된다.",NAVIGATION_ONLY,REVIEW_QUEUE,모호: proc(기록 수식 Tap) ↔ exp('기록이 없습니다') 불일치 의심 — 원문 재확인,N,N
32.Calculator,46.0,π 입력,계산기 > π 입력 > = 입력 > 더 보기 > 기록 > 선행 자릿수로 답변,팝업에서 선행 자릿수로 표시됨,INPUT_REQUIRED,REVIEW_QUEUE,'=' 기록 생성 + 표시 옵션 팝업 — cleanup 설계,N,Y
32.Calculator,47.0,사칙연산,계산기 > 사칙연산(나눗셈) 시행 > 더 보기 > 기록 >결과를 소수로 표시,소수로 표시됨,READ_ONLY,REVIEW_QUEUE,'=' 기록 생성 + 소수 표시 옵션 — cleanup 설계,N,N
32.Calculator,48.0,사칙연산,계산기 > 사칙연산 시행 > 더 보기 > 오픈소스 라이선스,오픈소스 라이선스 표시됨,READ_ONLY,REVIEW_QUEUE,재설계: '사칙연산 시행' 부수 step 제거 시 순수 observe(라이선스 노출),N,N
32.Calculator,49.0,입력가능 최대 자리수,계산기 > 14자리이상의 숫자를 계속 입력,토스트팝업이 일정시간동안 한번 발생한 후 사라져야 함,INPUT_REQUIRED,REVIEW_QUEUE,토스트 transient + 문구 미명시 — 검증 수단 재설계,N,Y
32.Calculator,50.0,키패드 입력 시 진동,계산기 > 임의의 숫자 입력,"숫자 입력 시, 키패드 진동이 있어야 함",INPUT_REQUIRED,EXCLUDE,키패드 진동 검증 — UI dump 불가(manual 전용),N,Y
32.Calculator,51.0,의미없는 숫자입력시,"계산기 > 123+0,123입력 > '=' tab","0,123입력시 123으로 변경되어야 하며 결과값은 246을 표시해야 함",INPUT_REQUIRED,KEEP,콤마 보정+'=' 결과 246 결정적; risk: 계산 기록 1건 생성(cleanup 후속 결정),N,Y
32.Calculator,52.0,,1. 계산기 > .3+3입력 후 '='tab > 우측 상단 더보기 > 기록 2. 계산기 > tan(60 입력 후 '='tab > 우측 상단 더보기 > 기록,1. .3을 누르면 자동적으로 0.3이 디스플레이되어야 하며 기록 확인시 0.3+3으로 표시되어야 함 2. tan(60 입력 후 '='를 누르고 기록 확인 시 tan(60)으로 표시되어 있어야 함,INPUT_REQUIRED,REVIEW_QUEUE,기록 표시 형식 assert — '=' 기록 생성 + 기록 화면 의존,N,Y
32.Calculator,53.0,,1. 계산기 > 키패드 우측 상단 '•••' tab > zeplin문서와 비교,각종 계산 입력식등이 zeplin과 같은지 확인 (대/소문자등도 확인),INPUT_REQUIRED,EXCLUDE,"zeplin 문서 비교 = 외부 산출물 기준, on-device 결정 불가",N,N
